,p_id,week
0,1,['05-29-2022']
1,1,['06-05-2022']
2,1,['06-12-2022']
3,1,['06-19-2022']
4,1,['06-26-2022']
5,1,['07-03-2022']
6,1,['07-10-2022']
7,1,['07-17-2022']
8,1,['07-24-2022']
9,1,['07-31-2022']
10,1,['08-07-2022']
11,1,['08-14-2022']
12,1,['08-21-2022']
13,1,['08-28-2022']
14,1,['09-04-2022']
15,1,['09-11-2022']
16,1,['09-18-2022']
17,1,['09-25-2022']
18,1,['10-02-2022']
19,1,['10-09-2022']
20,1,['10-16-2022']
21,1,['10-23-2022']
22,1,['10-30-2022']
23,1,['11-06-2022']
24,1,['11-13-2022']
25,1,['11-20-2022']
26,1,['11-27-2022']
27,1,['12-04-2022']
28,1,['12-11-2022']
29,1,['12-18-2022']
30,1,['12-25-2022']
31,1,['01-01-2023']
32,1,['01-08-2023']
33,1,['01-15-2023']
34,1,['01-22-2023']
35,1,['01-29-2023']
36,1,['02-05-2023']
37,1,['02-12-2023']
38,1,['02-19-2023']
39,1,['02-26-2023']
40,1,['03-05-2023']
41,1,['03-12-2023']
42,1,['03-19-2023']
43,1,['03-26-2023']
44,1,['04-02-2023']
45,1,['04-09-2023']
46,1,['04-16-2023']
47,1,['04-23-2023']
48,1,['04-30-2023']
49,1,['05-07-2023']
50,1,['05-14-2023']
51,1,['05-21-2023']
52,1,['05-28-2023']
53,2,['05-29-2022']
54,2,['06-05-2022']
55,2,['06-12-2022']
56,2,['06-19-2022']
57,2,['06-26-2022']
58,2,['07-03-2022']
59,2,['07-10-2022']
60,2,['07-17-2022']
61,2,['07-24-2022']
62,2,['07-31-2022']
63,2,['08-07-2022']
64,2,['08-14-2022']
65,2,['08-21-2022']
66,2,['08-28-2022']
67,2,['09-04-2022']
68,2,['09-11-2022']
69,2,['09-18-2022']
70,2,['09-25-2022']
71,2,['10-02-2022']
72,2,['10-09-2022']
73,2,['10-16-2022']
74,2,['10-23-2022']
75,2,['10-30-2022']
76,2,['11-06-2022']
77,2,['11-13-2022']
78,2,['11-20-2022']
79,2,['11-27-2022']
80,2,['12-04-2022']
81,2,['12-11-2022']
82,2,['12-18-2022']
83,2,['12-25-2022']
84,2,['01-01-2023']
85,2,['01-08-2023']
86,2,['01-15-2023']
87,2,['01-22-2023']
88,2,['01-29-2023']
89,2,['02-05-2023']
90,2,['02-12-2023']
91,2,['02-19-2023']
92,2,['02-26-2023']
93,2,['03-05-2023']
94,2,['03-12-2023']
95,2,['03-19-2023']
96,2,['03-26-2023']
97,2,['04-02-2023']
98,2,['04-09-2023']
99,2,['04-16-2023']
100,2,['04-23-2023']
101,2,['04-30-2023']
102,2,['05-07-2023']
103,2,['05-14-2023']
104,2,['05-21-2023']
105,2,['05-28-2023']
106,3,['05-29-2022']
107,3,['06-05-2022']
108,3,['06-12-2022']
109,3,['06-19-2022']
