p_id,name,description,bathrooms_text,bedrooms,amenities,price,city,p_avg_rating,num_rates,h_uname
1,Tiny Home in the Heart of the City- ECO FRIENDLY,"160 sq ft + 80 sq ft loft for sleeping, Sleeps 2 in the loft, linens included, no pets please (property is shared with 2 senior dogs), private parking, private entrance.<br /><br />The Tiny Home is limited 2 PAID guests. No other guests unless the owner approves in advance.<br /><br /><b>The space</b><br />Here's the fun details of this Tiny Home experience in the middle of the city:<br /><br />160 sq ft + 80 sq ft in the loft for sleeping, Sleeps 2 in the loft, linens included, no pets please (property is shared with 2 senior dogs), private parking, private entrance.<br />Outside entertainment area with  BBQ grill. Enjoy those wonderful Colorado evenings with colleagues or friends!<br /><br />The Tiny Home is limited 2 PAID guests. No other guests unless the owner approves in advance.<br /><br />Private entrance to large open space park with access to bike and running paths that link the entire city.<br /><br />8 minutes to Downtown Denver.<br />5 minutes to Cherry Creek Shopping Mall",1,0,"[""Cooking basics"", ""Private patio or balcony"", ""Dedicated workspace"", ""TV"", ""Keypad"", ""Shampoo"", ""Fire extinguisher"", ""Air conditioning"", ""Microwave"", ""Coffee maker"", ""Heating"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Free street parking"", ""Stove"", ""Long term stays allowed"", ""Refrigerator"", ""BBQ grill"", ""Security cameras on property"", ""Free parking on premises"", ""Shared fenced garden or backyard"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Bed linens"", ""Essentials"", ""Hot water"", ""Kitchen""]",79,"Denver, Colorado, United States",5,0,ig8BUqxRsa
2,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,"Enjoy the famous Colorado weather and unplug in indoor & outdoor living. <br />Our charming guesthouse has a serene ambiance throughout every area. <br />Spread out on the large sofa while relaxing, reading, or playing a game.<br />Spend a sunny afternoon out on the hammock or enjoying the garden parlor sofa, sink into the shared hot tub, practice yoga on the Pauda deck.<br />We are located next to downtown and in the neighborhood of lower highlands, <br />Short walks to Superb coffee shops, restaurants & microbrews, distilleries, dispensary & downtown. We are 420 (outdoors only), LBGTQ friendly, fragrance & pet-free.<br /><br /><b>License number</b><br />2017-BFN-0002177",1,2,"[""Room-darkening shades"", ""Bathroom essentials"", ""TV"", ""Dryer"", ""Bathtub"", ""Fire extinguisher"", ""Air conditioning"", ""Coffee maker"", ""Heating"", ""Smoke alarm"", ""Free street parking"", ""Wifi"", ""Backyard"", ""Hair dryer"", ""Shared hot tub"", ""Full kitchen"", ""Self check-in"", ""Carbon monoxide alarm"", ""Iron"", ""Washer"", ""Bedroom comforts""]",133,"Denver, Colorado, United States",5,0,Ao35FYcO4K
3,Lodo / RiNo LOFT  via airport train,"Modern 1,000 square foot loft in the heart of RiNo, the hottest neighborhood in Denver right now.  Breweries, coffee shops, restaurants - all close. The 500 sq ft. patio has panoramic views of the Rockies.  3 blocks away from airport train stop.<br /><br /><b>The space</b><br />BRAND NEW FOR 2016 -  April 22, 2016 - the airport train will take you from DIA to only 4 blocks away from the loft.  $9.00 each way and under 35 minutes. Much better than a $50.00 cab that can take an hour in traffic.<br /><br />Fully Furnished 2-level loft/ 1 bedroom 1.5 bathrooms / walking distance to Coors Field and about 1.5 miles to Pepsi Center.  The loft is located in the RiNo / Ballpark neighborhood (the Airbnb map say it's Five Points, but if you know anything about this area - it's definitely not Five Points). This is fast becoming the hottest neighborhood in Denver.  Coffee shops, restaurants and two new breweries within walking distance!   Queen bed upstairs and two sofas downstairs: fine for childr",1.5,1,"[""Dedicated workspace"", ""Dryer"", ""Breakfast"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Indoor fireplace"", ""Cable TV"", ""Air conditioning"", ""Hangers"", ""TV with standard cable"", ""Heating"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Hair dryer"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Iron"", ""Washer"", ""Essentials"", ""Kitchen""]",179,"Denver, Colorado, United States",5,0,3r3zysy6Eb
4,Comfortable  - and a great value!,"Large guest room in my home, where I also live.  I have breakfast foods for nightly* guests to help themselves to. If 3 people share this room, one sleeps on the couch in the room.<br /><br />*as opposed to weekly or monthly.   Weekly and monthly guests are also welcome to help themselves to breakfast food their first of couple of days.<br /><br /><b>The space</b><br />I have been enjoying welcoming many wonderful guests into my home for 12+ years now with Airbnb (from 34 different countries so far.) <br /><br />Please have a bit of info about yourself in your Airbnb profile. (On a computer, hover over the tiny picture of yourself in the very top, right corner and Edit Profile will be one of the options that pop up. Be sure to scroll down and hit the red SAVE button.  It's usually an icon at the bottom on the phone app - but changes with updates) <br /><br />In this guest room there is a queen-sized bed, couch, wifi,  desk with computer you may use that is on its last legs,  also some ",1,1,"[""Cooking basics"", ""Dedicated workspace"", ""Dryer"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Indoor fireplace"", ""Dishwasher"", ""Hangers"", ""Microwave"", ""Coffee maker"", ""Heating"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Free street parking"", ""Stove"", ""Backyard"", ""Long term stays allowed"", ""Patio or balcony"", ""Hair dryer"", ""Refrigerator"", ""BBQ grill"", ""Free parking on premises"", ""Oven"", ""Carbon monoxide alarm"", ""Iron"", ""Washer"", ""Essentials"", ""Hot water"", ""Kitchen""]",55,"Denver, Colorado, United States",5,0,ig8BUqxRsa
5,private,"This room is in the basement.  It does not have its own entrance, but is fairly private.      Please read the full room description (esp. hearing footsteps above.)  I want my guests to be happy and have no surprises.  Also, please have some info in your Airbnb profile.<br /><br /><b>The space</b><br />This is a basement room.  You can sometimes hear when people are walking around up above.  It has one queen-size bed.  Clean and nice bathroom is next door at end of hall. Of course I provide soap, clean towels and probably will have anything else you might have forgotten or not wanted to pack so you can just have carry-on luggage.  Many empty drawers and  a good amount of closet space available. You may make yourself at home in kitchen and other public areas of the house. Wireless internet.   No TV in the room, but yes in basement.  Window coverings  can make it almost completely dark when desired.  The house upstairs is lovely.   <br />    <br />My house is cooled by an evaporative cool",1,1,"[""Cooking basics"", ""Dryer"", ""Shampoo"", ""Fire extinguisher"", ""Indoor fireplace"", ""Dishwasher"", ""Air conditioning"", ""Hangers"", ""Microwave"", ""Coffee maker"", ""Heating"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Free street parking"", ""Stove"", ""Long term stays allowed"", ""Hair dryer"", ""Refrigerator"", ""Free parking on premises"", ""Oven"", ""Carbon monoxide alarm"", ""Iron"", ""Washer"", ""Lock on bedroom door"", ""Essentials"", ""Hot water"", ""Kitchen""]",52,"Denver, Colorado, United States",5,0,Ao35FYcO4K
6,Alexandra's Queen Bed Room LONG-TERM RENTAL,"Thanks for visiting my Queen Bed Room site for LONG-TERM rental! (31 nights minimum stay, at $30 per night) Extra guest is $50/month.<br /><br />This bright room is on the main floor of my home. Bathroom is nearby, and is private except when I need basement access. Guest will have a key; so no curfew. No other overnight guests are permitted, unless authorized by me 24 hours in advance. Parking is available on street, with my parking permit. The location is SUPERB for all Downtown and Midtown activities.<br /><br /><b>The space</b><br />Thank you for checking out my Queen Bed Room listing for LONG-TERM (31-night minimum - $30 per night for one person) rental! Additional guests will be $50 per month, payable to host. Please know that long-term rentals are not subject to lodging or sales taxes!<br /><br />This is a fantastic location very close to both Downtown Denver and the Midtown hospital district, which are both quick and easy 10 to 20 minute walks away. My home is close enough to go",1,1,"[""Cooking basics"", ""Dedicated workspace"", ""Dryer"", ""First aid kit"", ""Piano"", ""Children\u2019s books and toys"", ""Shampoo"", ""Fire extinguisher"", ""Mini fridge"", ""Kitchen"", ""Extra pillows and blankets"", ""Cable TV"", ""Dishwasher"", ""Baking sheet"", ""Air conditioning"", ""Hangers"", ""Microwave"", ""TV with standard cable"", ""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Free street parking"", ""Stove"", ""Backyard"", ""Long term stays allowed"", ""Patio or balcony"", ""Hair dryer"", ""Refrigerator"", ""High chair"", ""Luggage dropoff allowed"", ""Children\u2019s dinnerware"", ""Oven"", ""Carbon monoxide alarm"", ""Iron"", ""Washer"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Hot water"", ""Essentials""]",33,"Denver, Colorado, United States",5,0,3r3zysy6Eb
7,Baker Studio Close to EVERYTHING,"Great place for a few nights or months! Significant discounts for week or month+.  Ideal for traveling nurses, med students, or transitioning to Denver. Close to Denver Health Medical Center, downtown, professional sports venues and performing arts.  Cute 1890's neighborhood walkable to breweries, coffee shops, restaurants, shops and Mayan Theater on Broadway, and Santa Fe Arts District.   Easy access with major freeways/roads and RTD.  No pets in studio but my two dogs may be in the backyard.<br /><br /><b>The space</b><br />This newly built, highly functional studio is equipped with full kitchen, including stove/oven, dishwasher, microwave, and refrigerator; and fully stocked with cooking and eating equipment. Significant cabinet and closet space.  Flooded with natural light.  It has everything you need for a comfortable stay for a few nights or a few months! For your convenience coffee, tea and paper products supplied to get you started but are not replenished throughout the stay.<b",1,0,"[""Cooking basics"", ""Dedicated workspace"", ""TV"", ""Dryer"", ""First aid kit"", ""Keypad"", ""Shampoo"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Dishwasher"", ""Air conditioning"", ""Hangers"", ""Microwave"", ""Coffee maker"", ""Heating"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Free street parking"", ""Stove"", ""Long term stays allowed"", ""Patio or balcony"", ""Hair dryer"", ""Private fenced garden or backyard"", ""Refrigerator"", ""BBQ grill"", ""Private entrance"", ""Luggage dropoff allowed"", ""Oven"", ""Carbon monoxide alarm"", ""Iron"", ""Washer"", ""Bed linens"", ""Essentials"", ""Hot water"", ""Kitchen""]",100,"Denver, Colorado, United States",5,0,ig8BUqxRsa
8,Highland Park Guest House,"CORONA VIRUS RESPONSIBLE - ESSENTIAL WORKERS WELCOME<br /><br /><b>The space</b><br />Highland Park Guest House is located in central Denverâ€™s popular West Highland residential neighborhood nearby streets with stores, restaurants, coffee shops, parks, and nightlife.  The residence is just half a block from public bus transportation providing quick and inexpensive access to other regional transportation systems and the 16th Street Mall in downtown Denver. <br /><br />Accommodations consist of a 750 square foot completely new garden level one bedroom studio in a 1900â€˜s turn of the century bungalow.  The space includes a full wet bar (no stove top or oven) with a refrigerator, sink, and microwave oven.   Finishes include eco friendly materials such as bamboo and Marmoleum flooring and low VOC paints.  All linens and towels are organic and all cleaning products are nontoxic and earth friendly.<br /><br />Amenities include Off Street Parking, 24 Hour Keypad Access, Basic Cable Television wi",1,1,"[""Toaster"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Dedicated workspace"", ""48\"" HDTV with premium cable, Roku"", ""Dryer"", ""Cleaning before checkout"", ""Bathtub"", ""LG refrigerator"", ""Keypad"", ""Shampoo"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Portable fans"", ""Hangers"", ""Pour-over coffee"", ""Microwave"", ""Coffee maker"", ""Free driveway parking on premises \u2013 1 space"", ""Dishes and silverware"", ""Wine glasses"", ""Smoke alarm"", ""Free street parking"", ""Long term stays allowed"", ""Hair dryer"", ""Fast wifi \u2013 474 Mbps"", ""Dining table"", ""Clothing storage: walk-in closet"", ""Radiant heating"", ""Private entrance"", ""Security cameras on property"", ""Shared fenced garden or backyard"", ""Luggage dropoff allowed"", ""Freezer"", ""Carbon monoxide alarm"", ""Iron"", ""Bed linens"", ""Hot water"", ""Essentials""]",85,"Denver, Colorado, United States",5,0,Ao35FYcO4K
9,LoHi Secret garden at Mulberry Cottage Monthly,"Enjoy our oasis in the city and stay at one of the founding Airbnb rentals.  <br />We are currently a monthly rental. <br />We love to enjoy the famous Colorado weather and believe in indoor & outdoor living.  We are located next to downtown and in the revitalized neighborhood of lower highlands - check out the Bug Theater! <br />Short walks to coffee shops, restaurants & microbrews, dispensary & downtown. <br />We are 420 (outdoors only), LBGTQ friendly, fragrance-free & kitty-free. UVC w/ Ozone sterilization.<br /><br /><b>The space</b><br />COVID- 19 PREVENTION:<br />During these times with covid-19, we are striving to make sure that our guests and ourselves are comfortable and safe.<br /><br />Mulberry Cottage is a monthly single occupancy rental with no pets.<br /><br />As always there will be new linen, duvets, and towels in the cottages.<br />In addition to our regular cleaning, we will be doing extra sterilization of all cottages with UCV with ozone lights which adds on an extr",1,1,"[""Cooking basics"", ""Dedicated workspace"", ""TV"", ""Keypad"", ""Shampoo"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Portable fans"", ""Air conditioning"", ""Hangers"", ""Microwave"", ""Coffee maker"", ""Heating"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Free street parking"", ""Single level home"", ""Stove"", ""Long term stays allowed"", ""Hair dryer"", ""Shared hot tub"", ""Refrigerator"", ""BBQ grill"", ""Private entrance"", ""Shared patio or balcony"", ""Free parking on premises"", ""Shared fenced garden or backyard"", ""Luggage dropoff allowed"", ""Oven"", ""Carbon monoxide alarm"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Essentials"", ""Hot water"", ""Kitchen""]",110,"Denver, Colorado, United States",5,0,3r3zysy6Eb
10,Comfy King Size Room (Park Hill),"Guest room and bathroom is located on the main floor of home in quiet neighborhood.  You have full access to kitchen (well stocked), and living room with fireplace.  Porch and backyard deck have furniture and can be enjoyed.<br /><br />Pets and I live upstairs and only pass through kitchen/living room to come or go.    (Extremely cautious during Covid - will be always wearing mask as I pass through).<br /><br /><b>The space</b><br />This private bedroom has a comfortable king size bed, dresser, mirror, side tables with reading lamps (with base plug-in), two windows and a closet with built in shelving. The bed frame is high allowing storage under it. (if you are traveling with ski equipment, large suitcases ++).  Your private bathroom is located next to room.  Living space includes gas fire place, library and stereo.  Shared kitchen and entry.  <br />Plenty of free street parking. Close to City Park, Museum of Nature & Science, Zoo, public golf course, coffee house, market, Italian rest",1,1,"[""Ceiling fan"", ""Cooking basics"", ""Private patio or balcony"", ""Dedicated workspace"", ""Sound system"", ""Body soap"", ""Shampoo"", ""Fire extinguisher"", ""Indoor fireplace"", ""Kitchen"", ""Extra pillows and blankets"", ""Portable fans"", ""Dishwasher"", ""Baking sheet"", ""Air conditioning"", ""Hangers"", ""Pour-over coffee"", ""Conditioner"", ""Heating"", ""Microwave"", ""Coffee maker"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Free street parking"", ""Single level home"", ""Stove"", ""Outdoor furniture"", ""Long term stays allowed"", ""Hair dryer"", ""Private fenced garden or backyard"", ""Refrigerator"", ""Free parking on premises"", ""Oven"", ""Carbon monoxide alarm"", ""Shower gel"", ""Iron"", ""Bed linens"", ""Hot water"", ""Lockbox"", ""Essentials""]",90,"Denver, Colorado, United States",5,0,ig8BUqxRsa
